"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"216","A7274",7274,2227,73.9816687160105,0.0301156800529258
"217","A7274",7274,2463,28.5823491165043,-0.818576973056863
"218","A7274",7274,2511,61.1841573085846,-0.132761736958403
"219","A7274",7274,2538,87.5516869004071,0.16744421251984
"220","A7274",7274,2567,6.33726814471524,-2.28826081190747
"221","A7274",7274,2592,18.557696974375,-1.22770354534864
"222","A7274",7274,2757,25.5902036354273,-0.922381213429951
"223","A7274",7274,2888,14.3264651048323,-1.47863758384189
"224","A7274",7274,2980,77.1122220955678,0.0650057953183483
"225","A7274",7274,2986,83.5921556960947,0.131210906259521
"226","A7274",7274,3004,1.46115353932828,-3.95804300641125
"227","A7274",7274,3207,25.73291697288,-0.917152753479829
"228","A7274",7274,3371,30.7274726834138,-0.751549682856336
"229","A7274",7274,3446,95.1648602520045,0.228275819044477
"230","A7274",7274,4291,43.211418399816,-0.440022359031389
"231","A7274",7274,4307,55.8974971555619,-0.211530743343007
"232","A7274",7274,4405,21.5795932797119,-1.08369356771853
"233","A7274",7274,4444,45.3898178501318,-0.395921197450667
"234","A7274",7274,4469,66.4533624981024,-0.0614937143475264
"235","A7274",7274,4761,61.8440104408129,-0.123462024979165
"236","A7274",7274,5107,2.45229028362612,-3.28902587813553
"237","A7274",7274,5134,12.1039900095258,-1.64356232679965
"238","A7274",7274,5211,61.9568654098522,-0.121887381605134
"239","A7274",7274,5349,52.3461252343601,-0.269172041920423
"240","A7274",7274,5364,64.5891543120095,-0.085944625350892
"241","A7274",7274,5475,36.1949868667637,-0.600665828946093
"242","A7274",7274,5769,32.7837390441645,-0.69162377163718
"243","A7274",7274,5962,59.9162256841661,-0.15099582463211
"244","A7274",7274,5991,91.8918268543049,0.203348627961622
"245","A7274",7274,6170,7.71190746167389,-2.09108014728634
"246","A7274",7274,6737,84.9875869990597,0.144412076847723
"247","A7274",7274,6746,95.4548689280794,0.230402850967961
"248","A7274",7274,6988,41.1794653593177,-0.483283970748574
"249","A7274",7274,7067,6.74529210356748,-2.22585869449455
"250","A7274",7274,7081,10.9553927519956,-1.74182430875145
"251","A9779",9779,526,33.1752408638131,-0.611126561396528
"252","A9779",9779,555,56.0808884419566,-0.161683936676383
"253","A9779",9779,905,2.59060825125272,-2.9418257197645
"254","A9779",9779,953,21.1829639119986,-1.00616413933738
"255","A9779",9779,1017,66.8293586522618,-0.015761422575229
"256","A9779",9779,1047,98.3953911684469,0.284832396051073
"257","A9779",9779,1142,44.3433117580452,-0.360805068948543
"258","A9779",9779,1167,66.9553596322415,-0.0142106605110556
"259","A9779",9779,1450,49.9511502683471,-0.259350582632149
"260","A9779",9779,1614,64.5948691985232,-0.0438972729224585
"261","A9779",9779,1627,74.092661166103,0.0690217249306737
"262","A9779",9779,1790,88.2966953421733,0.208199086065321
"263","A9779",9779,1799,99.0779957290636,0.289475126746062
"264","A9779",9779,1842,19.4943151754248,-1.08011747935589
"265","A9779",9779,2013,29.6508634120684,-0.70913552424895
"266","A9779",9779,2227,74.1321110876647,0.0694562074846413
"267","A9779",9779,2463,29.8688618685614,-0.702688546046179
"268","A9779",9779,2511,62.4706700606417,-0.0716144476817354
"269","A9779",9779,2538,88.8381996524641,0.212754596098075
"270","A9779",9779,2567,6.78784130859906,-2.03131785104849
"271","A9779",9779,2592,19.8590771340825,-1.06363996902338
"272","A9779",9779,2757,26.9059529365383,-0.794745279287942
"273","A9779",9779,2888,14.7868346207342,-1.32727186602907
"274","A9779",9779,2980,77.2716145281236,0.103277515880352
"275","A9779",9779,2986,83.7515481286505,0.167506699782058
"276","A9779",9779,3004,1.62216764824449,-3.44162851925129
"277","A9779",9779,3207,27.0892910586452,-0.788733222652488
"278","A9779",9779,3371,31.2015347675302,-0.664667181267181
"279","A9779",9779,3446,95.6389223361209,0.265489659867298
"280","A9779",9779,4291,43.3841566071348,-0.379481357218369
"281","A9779",9779,4307,56.396412967348,-0.156966327455247
"282","A9779",9779,4405,21.7536820679304,-0.982579560901753
"283","A9779",9779,4444,45.5639066383502,-0.337536638936268
"284","A9779",9779,4469,66.9561791617984,-0.0142005886867131
"285","A9779",9779,4761,63.3183570133008,-0.0604167316157944
"286","A9779",9779,5107,2.6328759632003,-2.92412151768964
"287","A9779",9779,5134,12.2845756891,-1.49420547041076
"288","A9779",9779,5211,63.4633372825833,-0.0585227828029603
